name,link
4 Cylinders D 2.0L 2BL SOHC 122 CID,https://www.autozone.com/external/product-discovery/product/v1/products/120394/fitments?country=USA&customerType=B2C&salesChannel=ECOMM&preview=false&lineCode=DUR&partNumber=dlg5168&vehicleMake=Dodge&vehicleModel=Colt+Vista-Import&vehicleYear=1986
4 Cylinders D 2.0L 2BL SOHC 122 CID,https://www.autozone.com/external/product-discovery/product/v1/products/120394/fitments?country=USA&customerType=B2C&salesChannel=ECOMM&preview=false&lineCode=DUR&partNumber=dlg5168&vehicleMake=Dodge&vehicleModel=Colt+Vista-Import&vehicleYear=1985
4 Cylinders D 2.0L 2BL SOHC 122 CID,https://www.autozone.com/external/product-discovery/product/v1/products/120394/fitments?country=USA&customerType=B2C&salesChannel=ECOMM&preview=false&lineCode=DUR&partNumber=dlg5168&vehicleMake=Dodge&vehicleModel=Colt+Vista-Import&vehicleYear=1984
4 Cylinders G 2.4L FI (Can) 143 CID,https://www.autozone.com/external/product-discovery/product/v1/products/120394/fitments?country=USA&customerType=B2C&salesChannel=ECOMM&preview=false&lineCode=DUR&partNumber=dlg5168&vehicleMake=Dodge&vehicleModel=Colt-Import&vehicleYear=1994
4 Cylinders A 1.5L MFI SOHC 090 CID,https://www.autozone.com/external/product-discovery/product/v1/products/120394/fitments?country=USA&customerType=B2C&salesChannel=ECOMM&preview=false&lineCode=DUR&partNumber=dlg5168&vehicleMake=Dodge&vehicleModel=Colt-Import&vehicleYear=1994
4 Cylinders G 2.4L FI (Can) 143 CID,https://www.autozone.com/external/product-discovery/product/v1/products/120394/fitments?country=USA&customerType=B2C&salesChannel=ECOMM&preview=false&lineCode=DUR&partNumber=dlg5168&vehicleMake=Dodge&vehicleModel=Colt-Import&vehicleYear=1993
4 Cylinders A 1.5L MFI SOHC 090 CID,https://www.autozone.com/external/product-discovery/product/v1/products/120394/fitments?country=USA&customerType=B2C&salesChannel=ECOMM&preview=false&lineCode=DUR&partNumber=dlg5168&vehicleMake=Dodge&vehicleModel=Colt-Import&vehicleYear=1993
4 Cylinders A 1.5L MFI SOHC 090 CID,https://www.autozone.com/external/product-discovery/product/v1/products/120394/fitments?country=USA&customerType=B2C&salesChannel=ECOMM&preview=false&lineCode=DUR&partNumber=dlg5168&vehicleMake=Dodge&vehicleModel=Colt-Import&vehicleYear=1992
4 Cylinders K 1.5L FI (Can) 090 CID,https://www.autozone.com/external/product-discovery/product/v1/products/120394/fitments?country=USA&customerType=B2C&salesChannel=ECOMM&preview=false&lineCode=DUR&partNumber=dlg5168&vehicleMake=Dodge&vehicleModel=Colt-Import&vehicleYear=1991
4 Cylinders A 1.5L MFI SOHC 090 CID,https://www.autozone.com/external/product-discovery/product/v1/products/120394/fitments?country=USA&customerType=B2C&salesChannel=ECOMM&preview=false&lineCode=DUR&partNumber=dlg5168&vehicleMake=Dodge&vehicleModel=Colt-Import&vehicleYear=1991
4 Cylinders K 1.5L 2BL (Can) 090 CID,https://www.autozone.com/external/product-discovery/product/v1/products/120394/fitments?country=USA&customerType=B2C&salesChannel=ECOMM&preview=false&lineCode=DUR&partNumber=dlg5168&vehicleMake=Dodge&vehicleModel=Colt-Import&vehicleYear=1990
4 Cylinders F 1.6L FI Turbo (Can) 098 CID,https://www.autozone.com/external/product-discovery/product/v1/products/120394/fitments?country=USA&customerType=B2C&salesChannel=ECOMM&preview=false&lineCode=DUR&partNumber=dlg5168&vehicleMake=Dodge&vehicleModel=Colt-Import&vehicleYear=1990
4 Cylinders X 1.5L MFI SOHC 089 CID,https://www.autozone.com/external/product-discovery/product/v1/products/120394/fitments?country=USA&customerType=B2C&salesChannel=ECOMM&preview=false&lineCode=DUR&partNumber=dlg5168&vehicleMake=Dodge&vehicleModel=Colt-Import&vehicleYear=1990
4 Cylinders Y 1.6L MFI DOHC 097 CID,https://www.autozone.com/external/product-discovery/product/v1/products/120394/fitments?country=USA&customerType=B2C&salesChannel=ECOMM&preview=false&lineCode=DUR&partNumber=dlg5168&vehicleMake=Dodge&vehicleModel=Colt-Import&vehicleYear=1990
4 Cylinders T 1.8L MFI SOHC 110 CID,https://www.autozone.com/external/product-discovery/product/v1/products/120394/fitments?country=USA&customerType=B2C&salesChannel=ECOMM&preview=false&lineCode=DUR&partNumber=dlg5168&vehicleMake=Dodge&vehicleModel=Colt-Import&vehicleYear=1990
4 Cylinders K 1.5L 2BL (Can) 090 CID,https://www.autozone.com/external/product-discovery/product/v1/products/120394/fitments?country=USA&customerType=B2C&salesChannel=ECOMM&preview=false&lineCode=DUR&partNumber=dlg5168&vehicleMake=Dodge&vehicleModel=Colt-Import&vehicleYear=1989
4 Cylinders Z 1.6L MFI Turbo DOHC 097 CID,https://www.autozone.com/external/product-discovery/product/v1/products/120394/fitments?country=USA&customerType=B2C&salesChannel=ECOMM&preview=false&lineCode=DUR&partNumber=dlg5168&vehicleMake=Dodge&vehicleModel=Colt-Import&vehicleYear=1989
4 Cylinders Y 1.6L FI (Can) 098 CID,https://www.autozone.com/external/product-discovery/product/v1/products/120394/fitments?country=USA&customerType=B2C&salesChannel=ECOMM&preview=false&lineCode=DUR&partNumber=dlg5168&vehicleMake=Dodge&vehicleModel=Colt-Import&vehicleYear=1989
4 Cylinders T 1.8L MFI SOHC 110 CID,https://www.autozone.com/external/product-discovery/product/v1/products/120394/fitments?country=USA&customerType=B2C&salesChannel=ECOMM&preview=false&lineCode=DUR&partNumber=dlg5168&vehicleMake=Dodge&vehicleModel=Colt-Import&vehicleYear=1989
4 Cylinders X 1.5L MFI SOHC 089 CID,https://www.autozone.com/external/product-discovery/product/v1/products/120394/fitments?country=USA&customerType=B2C&salesChannel=ECOMM&preview=false&lineCode=DUR&partNumber=dlg5168&vehicleMake=Dodge&vehicleModel=Colt-Import&vehicleYear=1989
4 Cylinders F 1.6L FI Turbo (Can) 098 CID,https://www.autozone.com/external/product-discovery/product/v1/products/120394/fitments?country=USA&customerType=B2C&salesChannel=ECOMM&preview=false&lineCode=DUR&partNumber=dlg5168&vehicleMake=Dodge&vehicleModel=Colt-Import&vehicleYear=1989
4 Cylinders F 1.6L FI Turbo SOHC 097 CID,https://www.autozone.com/external/product-discovery/product/v1/products/120394/fitments?country=USA&customerType=B2C&salesChannel=ECOMM&preview=false&lineCode=DUR&partNumber=dlg5168&vehicleMake=Dodge&vehicleModel=Colt-Import&vehicleYear=1988
4 Cylinders K 1.5L 2BL SOHC 089 CID,https://www.autozone.com/external/product-discovery/product/v1/products/120394/fitments?country=USA&customerType=B2C&salesChannel=ECOMM&preview=false&lineCode=DUR&partNumber=dlg5168&vehicleMake=Dodge&vehicleModel=Colt-Import&vehicleYear=1988
4 Cylinders P 1.5L MFI SOHC 089 CID,https://www.autozone.com/external/product-discovery/product/v1/products/120394/fitments?country=USA&customerType=B2C&salesChannel=ECOMM&preview=false&lineCode=DUR&partNumber=dlg5168&vehicleMake=Dodge&vehicleModel=Colt-Import&vehicleYear=1988
4 Cylinders F 1.6L FI Turbo SOHC 097 CID,https://www.autozone.com/external/product-discovery/product/v1/products/120394/fitments?country=USA&customerType=B2C&salesChannel=ECOMM&preview=false&lineCode=DUR&partNumber=dlg5168&vehicleMake=Dodge&vehicleModel=Colt-Import&vehicleYear=1987
4 Cylinders K 1.5L 2BL SOHC 089 CID,https://www.autozone.com/external/product-discovery/product/v1/products/120394/fitments?country=USA&customerType=B2C&salesChannel=ECOMM&preview=false&lineCode=DUR&partNumber=dlg5168&vehicleMake=Dodge&vehicleModel=Colt-Import&vehicleYear=1987
4 Cylinders K 1.5L 2BL SOHC 089 CID,https://www.autozone.com/external/product-discovery/product/v1/products/120394/fitments?country=USA&customerType=B2C&salesChannel=ECOMM&preview=false&lineCode=DUR&partNumber=dlg5168&vehicleMake=Dodge&vehicleModel=Colt-Import&vehicleYear=1986
4 Cylinders F 1.6L FI Turbo SOHC 097 CID,https://www.autozone.com/external/product-discovery/product/v1/products/120394/fitments?country=USA&customerType=B2C&salesChannel=ECOMM&preview=false&lineCode=DUR&partNumber=dlg5168&vehicleMake=Dodge&vehicleModel=Colt-Import&vehicleYear=1986
4 Cylinders F 1.6L FI Turbo SOHC 097 CID,https://www.autozone.com/external/product-discovery/product/v1/products/120394/fitments?country=USA&customerType=B2C&salesChannel=ECOMM&preview=false&lineCode=DUR&partNumber=dlg5168&vehicleMake=Dodge&vehicleModel=Colt-Import&vehicleYear=1985
