Sprite,3,https://www.autozone.com/external/product-discovery/product/v1/products/388785/fitments?country=USA&customerType=B2C&salesChannel=ECOMM&preview=false&lineCode=DUR&partNumber=16121n&vehicleMake=Austin-Healey
Sprite MK2,3,https://www.autozone.com/external/product-discovery/product/v1/products/388785/fitments?country=USA&customerType=B2C&salesChannel=ECOMM&preview=false&lineCode=DUR&partNumber=16121n&vehicleMake=Austin-Healey
Sprite MK3,3,https://www.autozone.com/external/product-discovery/product/v1/products/388785/fitments?country=USA&customerType=B2C&salesChannel=ECOMM&preview=false&lineCode=DUR&partNumber=16121n&vehicleMake=Austin-Healey
Sprite MK4,5,https://www.autozone.com/external/product-discovery/product/v1/products/388785/fitments?country=USA&customerType=B2C&salesChannel=ECOMM&preview=false&lineCode=DUR&partNumber=16121n&vehicleMake=Austin-Healey
1300,2,https://www.autozone.com/external/product-discovery/product/v1/products/388785/fitments?country=USA&customerType=B2C&salesChannel=ECOMM&preview=false&lineCode=DUR&partNumber=16121n&vehicleMake=MG
MG Midget,13,https://www.autozone.com/external/product-discovery/product/v1/products/388785/fitments?country=USA&customerType=B2C&salesChannel=ECOMM&preview=false&lineCode=DUR&partNumber=16121n&vehicleMake=MG
MGA,4,https://www.autozone.com/external/product-discovery/product/v1/products/388785/fitments?country=USA&customerType=B2C&salesChannel=ECOMM&preview=false&lineCode=DUR&partNumber=16121n&vehicleMake=MG
MGA MKII,3,https://www.autozone.com/external/product-discovery/product/v1/products/388785/fitments?country=USA&customerType=B2C&salesChannel=ECOMM&preview=false&lineCode=DUR&partNumber=16121n&vehicleMake=MG
Midget MKI,2,https://www.autozone.com/external/product-discovery/product/v1/products/388785/fitments?country=USA&customerType=B2C&salesChannel=ECOMM&preview=false&lineCode=DUR&partNumber=16121n&vehicleMake=MG
Midget MKII,3,https://www.autozone.com/external/product-discovery/product/v1/products/388785/fitments?country=USA&customerType=B2C&salesChannel=ECOMM&preview=false&lineCode=DUR&partNumber=16121n&vehicleMake=MG
GT6-MKI,2,https://www.autozone.com/external/product-discovery/product/v1/products/388785/fitments?country=USA&customerType=B2C&salesChannel=ECOMM&preview=false&lineCode=DUR&partNumber=16121n&vehicleMake=Triumph
GT6-MKII,2,https://www.autozone.com/external/product-discovery/product/v1/products/388785/fitments?country=USA&customerType=B2C&salesChannel=ECOMM&preview=false&lineCode=DUR&partNumber=16121n&vehicleMake=Triumph
GT6-MKIII,3,https://www.autozone.com/external/product-discovery/product/v1/products/388785/fitments?country=USA&customerType=B2C&salesChannel=ECOMM&preview=false&lineCode=DUR&partNumber=16121n&vehicleMake=Triumph
Spitfire,7,https://www.autozone.com/external/product-discovery/product/v1/products/388785/fitments?country=USA&customerType=B2C&salesChannel=ECOMM&preview=false&lineCode=DUR&partNumber=16121n&vehicleMake=Triumph
Spitfire 1500,1,https://www.autozone.com/external/product-discovery/product/v1/products/388785/fitments?country=USA&customerType=B2C&salesChannel=ECOMM&preview=false&lineCode=DUR&partNumber=16121n&vehicleMake=Triumph
Spitfire MKIII,3,https://www.autozone.com/external/product-discovery/product/v1/products/388785/fitments?country=USA&customerType=B2C&salesChannel=ECOMM&preview=false&lineCode=DUR&partNumber=16121n&vehicleMake=Triumph
Spitfire MKIV,2,https://www.autozone.com/external/product-discovery/product/v1/products/388785/fitments?country=USA&customerType=B2C&salesChannel=ECOMM&preview=false&lineCode=DUR&partNumber=16121n&vehicleMake=Triumph
TR250,1,https://www.autozone.com/external/product-discovery/product/v1/products/388785/fitments?country=USA&customerType=B2C&salesChannel=ECOMM&preview=false&lineCode=DUR&partNumber=16121n&vehicleMake=Triumph
